name,category,cost,midpoint_date,display_name
Texas and Oklahoma Flooding and Severe Weather,flooding,2.6,2015-05-24,Texas and Oklahoma Flooding and Severe Weather
East/ South Flooding and Severe Weather,flooding,2.6,2010-05-01,East/South Flooding and Severe Weather
Western/ Southeast Wildfires,drought-wildfire,2.5,2016-09-15,Western/Southeast Wildfires
Spring Freeze,winter-storm-freeze,2.5,2007-04-07,Spring Freeze
Southern Plains/ Midwest/ Northeast Severe Weather,severe-storm,2.5,2012-05-27,Southern Plains/Midwest/Northeast Severe Weather
South/ Southeast Tornadoes,severe-storm,2.5,2016-04-29,South/Southeast Tornadoes
Minnesota Severe Storms/ Hail,severe-storm,2.5,1998-05-15,Minnesota Severe Storms/Hail
Minnesota Hail Storm and Upper Midwest Severe Weather,severe-storm,2.5,2017-06-12,Minnesota Hail Storm and Upper Midwest Severe Weather
Midwest/ Plains/ East Tornadoes,severe-storm,2.5,2013-05-20,Midwest/Plains/East Tornadoes
Texas and Louisiana Flooding,flooding,2.4,2016-03-10,Texas and Louisiana Flooding
Southeast/ Midwest Tornadoes,severe-storm,2.4,2011-04-09,Southeast/Midwest Tornadoes
California Wildfires,drought-wildfire,2.4,1993-10-16,California Wildfires
Midwest/ Southeast/ Northeast Winter Storm,winter-storm-freeze,2.3,2014-01-06,Midwest/Southeast/Northeast Winter Storm
Midwest/ Southeast Tornadoes,severe-storm,2.3,2011-04-15,Midwest/Southeast Tornadoes
Southern Severe Storms and Flooding,flooding,2.2,1980-04-13,Southern Severe Storms and Flooding
Southeast Drought/ Heat Wave,drought-wildfire,2.2,1993-07-16,Southeast Drought/Heat Wave
Missouri River flooding,flooding,2.2,2011-05-31,Missouri River flooding
Colorado Hail Storm and Central Severe Weather,severe-storm,2.2,2017-05-09,Colorado Hail Storm and Central Severe Weather
Texas Tornadoes and Midwest Flooding,severe-storm,2.1,2015-12-27,Texas Tornadoes and Midwest Flooding
Southeast Severe Weather,severe-storm,2.1,2013-03-18,Southeast Severe Weather
South/ Southeast Severe Weather,severe-storm,2.1,2017-03-27,South/Southeast Severe Weather
South Carolina and East Coast Flooding,flooding,2.1,2015-10-03,South Carolina and East Coast Flooding
Northeast Ice Storm,winter-storm-freeze,2.1,1998-01-07,Northeast Ice Storm
Northeast Flooding,flooding,2.1,2010-03-16,Northeast Flooding
North Texas Hail Storm,severe-storm,2.1,2016-03-23,North Texas Hail Storm
Midwest Tornado Outbreak,severe-storm,2.1,2017-03-07,Midwest Tornado Outbreak
Hurricane Gloria,tropical-cyclone,2,1985-09-27,Hurricane Gloria
"Texas, New Mexico, Arizona Wildfires",drought-wildfire,2,2011-08-31,"Texas, New Mexico, Arizona Wildfires"
Southeast/ Ohio Valley Severe Weather,severe-storm,2,2009-02-10,Southeast/Ohio Valley Severe Weather
Rockies/ Central Plains Severe Weather,severe-storm,2,2014-06-04,Rockies/Central Plains Severe Weather
Midwest/ Southeast Tornadoes,severe-storm,2,2006-04-07,Midwest/Southeast Tornadoes
Groundhog Day Blizzard,winter-storm-freeze,2,2011-02-02,Groundhog Day Blizzard
"Winter Storm, Cold Wave",winter-storm-freeze,1.9,1985-01-20,"Winter Storm, Cold Wave"
Hurricane Allen,tropical-cyclone,1.9,1980-08-09,Hurricane Allen
Western Wildfires,drought-wildfire,1.9,2012-08-31,Western Wildfires
Southern Flooding,flooding,1.9,1990-05-15,Southern Flooding
Northeast Flooding,flooding,1.9,2006-06-26,Northeast Flooding
Midwest/ Southeast Tornadoes,severe-storm,1.9,2009-03-26,Midwest/Southeast Tornadoes
Midwest/ Plains/ Northeast Tornadoes,severe-storm,1.9,2013-05-29,Midwest/Plains/Northeast Tornadoes
Midwest/ Mid-Atlantic Severe Weather,severe-storm,1.9,2008-06-09,Midwest/Mid-Atlantic Severe Weather
Midwest Drought,drought-wildfire,1.9,2005-05-31,Midwest Drought
Western Fire Season,drought-wildfire,1.8,2002-10-16,Western Fire Season
Plains Tornadoes and Central Severe Weather,severe-storm,1.8,2016-05-09,Plains Tornadoes and Central Severe Weather
Numerous Wildfires,drought-wildfire,1.8,2006-07-02,Numerous Wildfires
Midwest/ Southeast/ Northeast Tornadoes and Flooding,severe-storm,1.8,2014-04-29,Midwest/Southeast/Northeast Tornadoes and Flooding
Central/ Southeast Tornado Outbreak,severe-storm,1.8,2017-02-28,Central/Southeast Tornado Outbreak
"Midwest/ Southeast/ Northeast Winter Storm, Cold Wave",winter-storm-freeze,1.7,1982-01-12,"Midwest/Southeast/Northeast Winter Storm, Cold Wave"
"Winter Storm, Cold Wave",winter-storm-freeze,1.7,1994-01-18,"Winter Storm, Cold Wave"
Tropical Storm Alberto,tropical-cyclone,1.7,1994-07-08,Tropical Storm Alberto
Texas Flooding,flooding,1.7,1994-10-20,Texas Flooding
South/ Southeast Severe Weather & Tornadoes,severe-storm,1.7,2009-04-09,South/Southeast Severe Weather & Tornadoes
"Severe Storms, Tornadoes",severe-storm,1.7,1998-05-31,"Severe Storms, Tornadoes"
Severe Storms and Tornadoes,severe-storm,1.7,2006-03-10,Severe Storms and Tornadoes
Missouri and Arkansas Flooding and Central Severe Weather,flooding,1.7,2017-05-01,Missouri and Arkansas Flooding and Central Severe Weather
Midwest/ Southeast Tornadoes and Severe Weather,severe-storm,1.7,2011-06-20,Midwest/Southeast Tornadoes and Severe Weather
Midwest/ Plains Tornadoes,severe-storm,1.7,1994-04-26,Midwest/Plains Tornadoes
"Hail, Tornadoes",severe-storm,1.7,1992-04-28,"Hail, Tornadoes"
California Freeze,winter-storm-freeze,1.7,2007-01-14,California Freeze
Colorado Hail Storm,severe-storm,1.6,1990-07-11,Colorado Hail Storm
Western Fire Season,drought-wildfire,1.6,2000-05-31,Western Fire Season
Pacific Northwest Severe Flooding,flooding,1.6,1996-02-09,Pacific Northwest Severe Flooding
Midwest/ Ohio Valley Severe Weather,severe-storm,1.6,2015-04-08,Midwest/Ohio Valley Severe Weather
Colorado Flooding,flooding,1.6,2013-09-13,Colorado Flooding
Western/ Eastern Severe Weather and Flooding,severe-storm,1.5,1998-01-14,Western/Eastern Severe Weather and Flooding
Rockies/ Plains Severe Weather,severe-storm,1.5,2014-09-30,Rockies/Plains Severe Weather
Rockies and Northeast Severe Weather,severe-storm,1.5,2016-07-29,Rockies and Northeast Severe Weather
Plains Severe Weather,severe-storm,1.5,2014-04-02,Plains Severe Weather
Mississippi and Ohio Valley Severe Weather and Flooding,severe-storm,1.5,1997-03-02,Mississippi and Ohio Valley Severe Weather and Flooding
Midwest/ Plains Severe Weather,severe-storm,1.5,2013-04-09,Midwest/Plains Severe Weather
"Midwest, South and East Severe Weather",severe-storm,1.5,2009-06-10,"Midwest, South and East Severe Weather"
Hurricane Lili,tropical-cyclone,1.5,2002-08-03,Hurricane Lili
Hurricane Dolly,tropical-cyclone,1.5,2008-07-24,Hurricane Dolly
Hurricane Bonnie,tropical-cyclone,1.5,1998-08-28,Hurricane Bonnie
Central and Eastern Winter Storm,winter-storm-freeze,1.5,1999-01-02,Central and Eastern Winter Storm
California Flooding,flooding,1.5,2017-02-15,California Flooding
"Winter Storm, Cold Wave",winter-storm-freeze,1.4,1989-12-23,"Winter Storm, Cold Wave"
"Tornadoes, Severe Storms, Floods",severe-storm,1.4,1984-04-01,"Tornadoes, Severe Storms, Floods"
Texas Flooding,flooding,1.4,1998-10-20,Texas Flooding
Severe Storms,severe-storm,1.4,1992-03-24,Severe Storms
U.S. Wildfires,drought-wildfire,1.4,2008-10-16,U.S. Wildfires
Southeast Tornadoes and Severe Weather,severe-storm,1.4,2008-02-05,Southeast Tornadoes and Severe Weather
Severe Weather,severe-storm,1.4,2003-07-22,Severe Weather
Rockies and Midwest Severe Weather,severe-storm,1.4,2011-07-12,Rockies and Midwest Severe Weather
"Severe Storms, Hail",severe-storm,1.3,1992-06-19,"Severe Storms, Hail"
Midwest/ Plains/ Southeast Tornadoes,severe-storm,1.3,1982-04-03,Midwest/Plains/Southeast Tornadoes
Central and Eastern Winter Storm,winter-storm-freeze,1.3,1999-01-14,Central and Eastern Winter Storm
Southern Plains Tornadoes,severe-storm,1.3,2015-05-08,Southern Plains Tornadoes
Southeast Tornadoes,severe-storm,1.3,2008-03-14,Southeast Tornadoes
South/ Southeast Severe Weather,severe-storm,1.3,2015-04-19,South/Southeast Severe Weather
"Severe Storms, Hail, Tornadoes",severe-storm,1.3,2004-05-24,"Severe Storms, Hail, Tornadoes"
Midwest/ Southeast Severe Weather,severe-storm,1.3,2011-08-17,Midwest/Southeast Severe Weather
Western Severe Storms and Flooding,severe-storm,1.2,1986-02-15,Western Severe Storms and Flooding
Western Fire Season,drought-wildfire,1.2,1994-08-31,Western Fire Season
"Severe Storms, Tornadoes",severe-storm,1.2,1991-03-27,"Severe Storms, Tornadoes"
Severe storms,severe-storm,1.2,1982-06-05,Severe storms
Midwest/ Plains Severe Weather,severe-storm,1.2,2003-07-06,Midwest/Plains Severe Weather
Western Wildfires,drought-wildfire,1.2,2009-08-31,Western Wildfires
Southern Severe Weather,severe-storm,1.2,2016-03-17,Southern Severe Weather
Southern Severe Weather,severe-storm,1.2,2008-04-10,Southern Severe Weather
Rockies/ Central Tornadoes and Severe Weather,severe-storm,1.2,2016-05-23,Rockies/Central Tornadoes and Severe Weather
Ohio Valley/ South Tornadoes,severe-storm,1.2,2011-04-19,Ohio Valley/South Tornadoes
Ohio Valley Tornadoes,severe-storm,1.2,2013-11-17,Ohio Valley Tornadoes
Midwest Tornadoes,severe-storm,1.2,2012-04-13,Midwest Tornadoes
Colorado Hail Storm,severe-storm,1.2,2009-07-20,Colorado Hail Storm
Central and Northeast Severe Weather,severe-storm,1.2,2015-06-23,Central and Northeast Severe Weather
"Severe Storms, Flash Floods, Hail, Tornadoes",severe-storm,1.1,1981-05-07,"Severe Storms, Flash Floods, Hail, Tornadoes"
Severe Storms and Hail,severe-storm,1.1,1984-06-15,Severe Storms and Hail
Severe Storms,severe-storm,1.1,1989-05-03,Severe Storms
Midwest/ Northeast Severe Storms and Flooding,severe-storm,1.1,2010-07-21,Midwest/Northeast Severe Storms and Flooding
Texas Tornadoes,severe-storm,1.1,2012-04-02,Texas Tornadoes
Southern Tornado Outbreak and Western Storms,severe-storm,1.1,2017-01-21,Southern Tornado Outbreak and Western Storms
Southeast and Eastern Tornadoes,severe-storm,1.1,2016-02-23,Southeast and Eastern Tornadoes
Midwest Severe Weather,severe-storm,1.1,2013-08-06,Midwest Severe Weather
Michigan and Northeast Flooding,flooding,1.1,2014-08-12,Michigan and Northeast Flooding
Illinois Flooding and Severe Weather,flooding,1.1,2013-04-17,Illinois Flooding and Severe Weather
